Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6004,2,2,1,4,Strategic,5.74 ,7.78 ,7.04 ,0.74 ,16,3.70 ,1,3
6004,2,2,1,6,Strategic,10.00 ,12.04 ,29.26 ,17.96 ,24,10.93 ,1,5
6004,2,2,1,8,Strategic,12.22 ,6.67 ,28.33 ,3.70 ,32,9.44 ,1,8
6004,2,2,1,10,Strategic,13.89 ,15.00 ,50.37 ,12.41 ,40,12.41 ,1,5
6004,2,2,1,12,Strategic,24.63 ,24.44 ,63.52 ,24.07 ,48,25.00 ,1,10
6004,2,2,1,14,Strategic,30.19 ,16.11 ,67.78 ,16.11 ,56,24.44 ,1,14
6004,2,2,1,16,Strategic,10.74 ,8.33 ,63.89 ,11.30 ,64,16.30 ,1,16
6004,2,2,1,18,Strategic,31.85 ,33.89 ,81.48 ,38.52 ,72,40.19 ,1,18
6004,2,2,1,20,Strategic,5.56 ,5.74 ,82.04 ,30.74 ,80,41.30 ,1,20
6004,2,2,2,4,Strategic,8.15 ,4.81 ,30.74 ,9.63 ,16,8.15 ,1,1
6004,2,2,2,6,Strategic,4.07 ,6.85 ,25.19 ,13.33 ,24,4.44 ,1,5
6004,2,2,2,8,Strategic,10.19 ,12.04 ,19.07 ,15.19 ,32,12.59 ,1,8
6004,2,2,2,10,Strategic,18.70 ,10.74 ,56.85 ,17.59 ,40,15.56 ,1,10
6004,2,2,2,12,Strategic,26.67 ,17.22 ,62.41 ,17.22 ,48,14.26 ,1,12
6004,2,2,2,14,Strategic,22.78 ,21.85 ,70.93 ,24.26 ,56,21.48 ,1,14
6004,2,2,2,16,Strategic,33.89 ,21.48 ,76.11 ,23.52 ,64,29.81 ,1,10
6004,2,2,2,18,Strategic,33.52 ,34.26 ,78.33 ,32.96 ,72,18.70 ,1,18
6004,2,2,2,20,Strategic,42.04 ,40.93 ,92.04 ,25.19 ,80,34.07 ,1,20
6004,2,2,3,4,Strategic,3.89 ,5.19 ,9.63 ,0.00 ,16,5.74 ,1,2
6004,2,2,3,6,Strategic,11.11 ,5.00 ,34.26 ,5.56 ,24,10.00 ,1,2
6004,2,2,3,8,Strategic,10.56 ,6.30 ,15.19 ,5.19 ,32,4.81 ,1,3
6004,2,2,3,10,Strategic,26.48 ,11.67 ,58.89 ,15.93 ,40,12.96 ,1,4
6004,2,2,3,12,Strategic,27.22 ,23.33 ,75.74 ,25.00 ,48,27.59 ,1,4
6004,2,2,3,14,Strategic,27.78 ,28.33 ,64.63 ,31.85 ,56,30.56 ,1,5
6004,2,2,3,16,Strategic,28.52 ,27.78 ,73.89 ,32.59 ,64,27.59 ,1,6
6004,2,2,3,18,Strategic,13.52 ,28.70 ,75.56 ,37.96 ,72,31.48 ,1,6
6004,2,2,3,20,Strategic,45.93 ,34.81 ,84.63 ,34.44 ,80,44.07 ,1,10
6007,2,1,1,4,Altruistic,67.74 ,60.71 ,7.62 ,55.95 ,0,50.48 ,0,1
6007,2,1,1,6,Altruistic,96.31 ,49.88 ,0.48 ,100.00 ,0,58.93 ,0,2
6007,2,1,1,8,Altruistic,56.07 ,62.02 ,0.71 ,57.26 ,0,78.69 ,1,10
