Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
305,1,3,56,4,3.2,3,1,2,0,0
305,1,3,57,4,3.2,1,0,2,0,0
305,1,3,58,14,11.2,1,0,5,0,0
305,1,3,59,10,8,3,1,4,0,0
305,1,3,60,18,14.4,3,1,5,0,0
305,1,3,61,18,14.4,1,0,5,0,0
305,1,3,62,6,4.8,2,1,5,0,0
305,1,3,63,10,8,1,0,4,0,0
305,1,3,64,6,4.8,1,0,2,0,0
305,1,3,65,6,4.8,3,1,2,0,0
305,1,3,66,14,11.2,3,1,5,0,0
305,1,3,67,14,11.2,2,1,9,0,0
305,1,3,68,20,16,1,0,6,0,0
305,1,3,69,20,16,2,1,12,0,0
305,1,3,70,12,9.6,1,0,4,0,0
305,1,3,71,8,6.4,2,1,6,0,0
305,1,3,72,8,6.4,3,1,3,0,0
305,1,3,73,20,16,3,1,6,0,0
305,1,3,74,16,12.8,1,0,5,0,0
305,1,3,75,12,9.6,2,1,8,0,0
305,1,3,76,8,6.4,1,0,3,0,0
305,1,3,77,18,14.4,2,1,11,0,0
305,1,3,78,10,8,2,1,7,0,0
305,1,3,79,12,9.6,3,1,4,0,0
305,1,3,80,16,12.8,2,1,10,0,0
305,1,3,81,4,3.2,2,1,4,0,0
306,2,1,1,12,9.6,1,0,7,0,0
306,2,1,2,14,11.2,2,1,10,0,0
306,2,1,3,16,12.8,1,0,8,0,0
306,2,1,4,18,14.4,1,0,9,0,0
306,2,1,5,6,4.8,2,1,6,0,0
306,2,1,6,8,6.4,1,0,4,0,0
306,2,1,7,10,8,3,1,5,0,0
306,2,1,8,18,14.4,3,1,8,0,0
306,2,1,9,12,9.6,2,1,10,0,0
306,2,1,10,8,6.4,3,1,5,0,0
306,2,1,11,20,16,3,1,8,0,0
306,2,1,12,14,11.2,1,0,6,0,0
306,2,1,13,4,3.2,3,1,3,0,0
306,2,1,14,4,3.2,1,0,2,0,0
306,2,1,15,14,11.2,3,1,6,0,0
306,2,1,16,6,4.8,1,0,4,0,0
306,2,1,17,10,8,1,0,5,0,0
306,2,1,18,16,12.8,2,1,10,0,0
306,2,1,19,10,8,2,1,8,0,0
306,2,1,20,6,4.8,3,1,4,0,0
306,2,1,21,12,9.6,3,1,5,0,0
306,2,1,22,20,16,2,1,12,0,0
306,2,1,23,16,12.8,3,1,7,0,0
306,2,1,24,4,3.2,2,1,5,0,0
306,2,1,25,20,16,1,0,9,0,0
306,2,1,26,18,14.4,2,1,11,0,0
306,2,1,27,8,6.4,2,1,5,0,0
306,2,2,28,12,9.6,1,0,5,0,0
306,2,2,29,10,8,3,1,5,0,0
306,2,2,30,16,12.8,1,0,6,0,0
306,2,2,31,18,14.4,3,1,7,0,0
306,2,2,32,8,6.4,3,1,5,0,0
306,2,2,33,14,11.2,2,0,7,0,0
306,2,2,34,6,4.8,2,1,7,0,0
306,2,2,35,20,16,3,1,8,0,0
306,2,2,36,12,9.6,2,1,6,0,0
306,2,2,37,18,14.4,1,0,7,0,0
306,2,2,38,16,12.8,2,1,8,0,0
306,2,2,39,4,3.2,3,1,2,0,0
306,2,2,40,14,11.2,3,1,5,0,0
306,2,2,41,10,8,2,0,5,0,0
306,2,2,42,20,16,2,0,8,0,0
306,2,2,43,6,4.8,3,1,7,0,0
306,2,2,44,12,9.6,3,1,5,0,0
306,2,2,45,4,3.2,2,1,5,0,0
306,2,2,46,18,14.4,2,1,9,0,0
306,2,2,47,8,6.4,1,0,8,0,0
306,2,2,48,14,11.2,1,0,5,0,0
306,2,2,49,8,6.4,2,1,6,0,0
306,2,2,50,4,3.2,1,0,3,0,0
306,2,2,51,6,4.8,1,0,3,0,0
306,2,2,52,16,12.8,3,1,6,0,0
306,2,2,53,10,8,1,0,5,0,0
306,2,2,54,20,16,1,0,6,0,0
306,2,3,55,14,11.2,2,1,7,0,0
306,2,3,56,12,9.6,1,0,6,0,0
306,2,3,57,10,8,3,1,5,0,0
306,2,3,58,18,14.4,3,1,7,0,0
306,2,3,59,16,12.8,1,0,6,0,0
306,2,3,60,18,14.4,1,1,5,0,0
306,2,3,61,6,4.8,2,1,5,0,0
306,2,3,62,8,6.4,3,1,4,0,0
306,2,3,63,12,9.6,2,1,7,0,0
306,2,3,64,8,6.4,1,0,3,0,0
306,2,3,65,14,11.2,1,1,10,0,0
306,2,3,66,16,12.8,2,1,8,0,0
306,2,3,67,20,16,3,1,8,0,0
306,2,3,68,10,8,2,1,6,0,0
306,2,3,69,4,3.2,3,1,3,0,0
306,2,3,70,14,11.2,3,1,5,0,0
306,2,3,71,20,16,2,1,10,0,0
306,2,3,72,4,3.2,1,0,5,0,0
306,2,3,73,6,4.8,1,0,2,0,0
306,2,3,74,6,4.8,3,1,4,0,0
306,2,3,75,12,9.6,3,1,5,0,0
306,2,3,76,4,3.2,2,1,4,0,0
306,2,3,77,10,8,1,0,5,0,0
306,2,3,78,18,14.4,2,1,9,0,0
306,2,3,79,8,6.4,2,1,6,0,0
306,2,3,80,20,16,1,0,7,0,0
306,2,3,81,16,12.8,3,1,7,0,0
307,1,1,1,6,4.8,3,0,4,0,0
307,1,1,2,14,11.2,3,1,2,0,0
307,1,1,3,16,12.8,2,0,16,0,0
