Subject,Cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care
336,10,Strategic,40,20,40,20,48,20
336,14,Altruistic,36,25,40,17,0,27
336,14,Strategic,45,29,52,28,80,35
336,18,Altruistic,49,35,23,41,0,32
336,18,Strategic,41,23,49,15,80,22
336,20,Altruistic,56,39,24,52,0,33
336,20,Strategic,32,28,44,31,88,22
337,6,Altruistic,20,10,10,10,0,20
337,6,Strategic,20,20,10,10,32,20
337,10,Altruistic,60,20,10,20,0,70
337,10,Strategic,41,20,20,20,52,60
337,14,Altruistic,50,40,20,20,0,60
337,14,Strategic,40,10,30,20,72,40
337,18,Altruistic,70,50,20,30,0,70
337,18,Strategic,60,40,20,21,92,60
337,20,Altruistic,80,80,20,40,0,80
337,20,Strategic,70,60,10,21,100,70
338,6,Altruistic,22,11,15,10,24,31
338,6,Strategic,20,10,10,16,32,19
338,10,Altruistic,62,40,21,41,40,61
338,10,Strategic,40,19,59,20,52,40
338,14,Altruistic,66,47,50,50,40,65
338,14,Strategic,58,35,34,36,60,57
338,18,Altruistic,83,63,52,57,40,85
338,18,Strategic,51,25,56,33,72,50
338,20,Altruistic,99,61,43,59,44,99
338,20,Strategic,78,20,62,61,72,80
339,6,Altruistic,52,35,0,31,0,42
339,6,Strategic,40,13,0,19,40,22
339,10,Altruistic,77,51,0,56,0,60
339,10,Strategic,60,20,0,60,60,40
339,14,Altruistic,89,71,0,72,0,71
339,14,Strategic,72,49,0,50,60,54
339,18,Altruistic,100,100,14,100,0,100
339,18,Strategic,92,70,30,78,80,77
339,20,Altruistic,100,100,41,100,0,100
339,20,Strategic,100,80,41,80,100,80
340,6,Altruistic,44,42,5,41,0,46
340,6,Strategic,7,7,31,6,24,6
340,10,Altruistic,73,73,11,79,0,73
340,10,Strategic,22,7,78,9,40,21
340,14,Altruistic,75,73,8,72,0,73
340,14,Strategic,35,35,65,35,56,34
340,18,Altruistic,85,85,8,74,0,83
340,18,Strategic,42,13,79,14,72,42
340,20,Altruistic,97,96,21,78,0,97
340,20,Strategic,46,22,98,21,100,46
341,6,Altruistic,30,0,0,3,0,21
341,6,Strategic,12,0,5,1,32,11
341,10,Altruistic,73,1,0,40,0,40
341,10,Strategic,40,1,60,60,52,29
341,14,Altruistic,86,0,0,61,0,73
341,14,Strategic,75,1,59,1,64,61
341,18,Altruistic,96,1,1,79,0,84
341,18,Strategic,70,0,61,7,80,74
341,20,Altruistic,94,0,0,11,0,88
341,20,Strategic,79,1,70,40,88,59
342,6,Altruistic,0,0,0,0,0,30
342,6,Strategic,0,0,0,0,24,20
342,10,Altruistic,0,0,0,0,0,80
342,10,Strategic,0,0,0,0,40,40
342,14,Altruistic,0,0,0,0,0,40
342,14,Strategic,0,0,0,0,56,30
342,18,Altruistic,0,0,0,0,0,60
342,18,Strategic,0,0,0,0,72,35
342,20,Altruistic,0,0,0,0,0,100
342,20,Strategic,0,0,0,0,80,50
343,6,Altruistic,16,17,5,22,0,15
343,6,Strategic,8,8,9,8,32,8
343,10,Altruistic,39,21,14,43,0,41
343,10,Strategic,16,11,42,9,48,16
343,14,Altruistic,36,3,19,38,0,18
343,14,Strategic,14,14,24,9,64,19
343,18,Altruistic,71,7,21,38,0,71
343,18,Strategic,33,3,40,22,80,38
343,20,Altruistic,83,7,32,86,0,83
343,20,Strategic,42,20,59,12,88,43
344,6,Altruistic,29,0,0,12,0,50
344,6,Strategic,21,0,10,0,24,40
344,10,Altruistic,50,21,0,10,8,79
344,10,Strategic,40,21,21,21,48,60
344,14,Altruistic,40,20,0,20,8,59
344,14,Strategic,39,20,20,20,64,61
344,18,Altruistic,59,20,0,29,12,69
344,18,Strategic,39,19,29,20,80,59
344,20,Altruistic,59,30,0,30,12,81
344,20,Strategic,51,20,31,20,100,80
345,6,Altruistic,2,0,0,0,0,23
345,6,Strategic,3,2,0,0,24,8
345,10,Altruistic,75,5,3,0,24,54
345,10,Strategic,39,0,5,2,40,19
345,14,Altruistic,66,0,0,0,0,62
345,14,Strategic,45,10,11,16,56,38
345,18,Altruistic,64,0,0,0,0,63
345,18,Strategic,18,6,24,12,72,34
345,20,Altruistic,72,3,1,0,0,79
345,20,Strategic,37,13,48,23,80,34
346,6,Altruistic,29,0,0,0,0,30
346,6,Strategic,19,0,0,0,32,20
346,10,Altruistic,59,0,0,0,0,59
346,10,Strategic,40,19,20,15,60,39
346,14,Altruistic,73,0,0,0,0,76
346,14,Strategic,70,0,0,0,72,69
346,18,Altruistic,79,0,0,0,0,80
346,18,Strategic,73,0,0,0,80,76
346,20,Altruistic,100,0,0,0,0,100
346,20,Strategic,100,100,0,0,100,100
347,6,Altruistic,40,25,0,25,0,40
347,6,Strategic,30,10,0,10,32,30
347,10,Altruistic,50,50,0,30,0,50
347,10,Strategic,50,20,0,20,52,50
347,14,Altruistic,70,45,0,45,0,70
347,14,Strategic,60,30,0,30,72,60
347,18,Altruistic,90,70,0,70,0,90
347,18,Strategic,75,35,0,35,60,75
347,20,Altruistic,100,80,0,80,0,100
347,20,Strategic,80,40,0,40,48,80
348,6,Altruistic,50,49,0,21,0,59
348,6,Strategic,20,20,21,21,16,34
348,10,Altruistic,78,79,0,40,0,79
348,10,Strategic,39,39,49,40,32,40
348,14,Altruistic,68,69,0,21,0,69
348,14,Strategic,39,36,45,40,48,39
348,18,Altruistic,94,79,0,21,0,94
348,18,Strategic,47,36,55,49,60,41
348,20,Altruistic,95,89,0,60,0,90
348,20,Strategic,40,41,58,49,60,40
349,6,Altruistic,26,33,28,40,20,26
349,6,Strategic,8,13,12,6,36,16
349,10,Altruistic,74,75,54,78,40,68
349,10,Strategic,32,48,67,73,60,39
349,14,Altruistic,76,71,61,74,40,62
349,14,Strategic,29,13,45,35,60,24
349,18,Altruistic,64,54,59,77,40,73
349,18,Strategic,67,60,50,54,72,47
349,20,Altruistic,97,82,70,94,40,90
349,20,Strategic,65,69,84,64,72,74
350,6,Altruistic,57,34,2,15,0,34
350,6,Strategic,36,11,4,12,40,13
350,10,Altruistic,79,59,4,57,0,58
350,10,Strategic,40,20,4,19,60,37
350,14,Altruistic,68,47,4,48,0,59
350,14,Strategic,64,35,8,45,60,51
350,18,Altruistic,80,57,3,56,0,77
350,18,Strategic,59,56,15,47,80,59
350,20,Altruistic,93,63,4,44,0,76
350,20,Strategic,59,42,5,37,88,44
